比較対象A_ID	比較対象B_ID	比較対象A_表層形	比較対象B_表層形	A-B	B-A
100102	100109	強健	強い	106	65
19	20	雑事	雑件	0	0
55	56	余の儀	余儀	0	0
75	76	あれこれ	あれやこれや	0	0
84	85	現象	自然現象	0	0
89	90	出来事	事件	0	0
95	96	事故	交通事故	0	0
136	137	騒ぎ	武勇伝	0	0
213	214	真	真如	0	0
229	230	事実	現実	0	0
255	256	夢物語	一場の夢	0	0
309	310	体用	体用	0	0
350	351	正副	正	0	0
361	362	贋物	贋造物	0	0
418	419	材料	好材料	0	0
431	432	種類	範疇	0	0
434	435	種	類	0	0
475	476	ジャンル	式	0	0
508	509	象徴	シンボル	0	0
528	529	例	一例	0	0
531	532	実例	用例	0	0
534	535	事例	モデルケース	0	0
556	557	ランク	品等	0	0
568	569	冠位	位階	0	0
577	578	僧位	段	0	0
601	602	上等	中等	0	0
616	617	第一流	一流	0	0
692	693	主筋	主筋	0	0
801	802	大本	大本	0	0
809	810	根底	もと	0	0
817	818	基	基礎	0	0
844	845	語源・語原	語源	0	0
869	870	ゆかり	由緒	0	0
887	888	因果	因縁	0	0
920	921	本因	善因	0	0
927	928	よすが	機縁	0	0
962	963	かい	年がい	0	0
974	975	効用	実効	0	0
988	989	奏効	発効	0	0
995	996	当たり障り	差し障り	0	0
998	999	お陰	報い	0	0
1014	1015	巻き添え	とばっちり	0	0
1049	1050	根拠	いわれ	0	0
1089	1090	食用	薬用	0	0
1117	1118	証拠	証左	0	0
1137	1138	対等	相互	0	0
1153	1154	相当	即応	0	0
1176	1177	逆	反対	0	0
1194	1195	ジレンマ	パラドックス	0	0
1208	1209	相克・相剋	相克	0	0
1220	1221	同	同一	0	0
1234	1235	似たり寄ったり	五十歩百歩	0	0
1239	1240	まま	まんま	0	0
1251	1252	酷似	生き写し	0	0
1288	1289	同学	同期	0	0
1333	1334	符合	暗合	0	0
1356	1357	差等	甲乙	0	0
1378	1379	包括	包含	0	0
1408	1409	連帯	連座	0	0
1428	1429	兼	兼任	0	0
1434	1435	属	付属・附属	0	0
1443	1444	所属	直属	0	0
1454	1455	付帯・附帯	付帯	0	0
1461	1462	従軍	#NAME?	0	0
1470	1471	有無	ありなし	0	0
1486	1487	顕在	現存	0	0
1511	1512	在住	在室	0	0
1516	1517	在世	在位	0	0
1525	1526	在社	在庁	0	0
1530	1531	滞在	滞留	0	0
1550	1551	駐屯	駐留	0	0
1557	1558	空	空	0	0
1616	1617	登場	登壇	0	0
1643	1644	露出	露呈	0	0
1681	1682	秘密	秘	0	0
1719	1720	兆	予兆	0	0
1734	1735	奇瑞	瑞兆	0	0
1737	1738	芽	萌芽	0	0
1745	1746	生まれ	出生	0	0
1749	1750	発生	自然発生	0	0
1782	1783	興廃	興亡	0	0
1787	1788	新興	中興	0	0
1807	1808	再現	再生	0	0
1819	1820	再発	ぶり返し	0	0
1826	1827	成就	成立	0	0
1831	1832	生成	熟成	0	0
1866	1867	仕掛け	仕組み	0	0
1902	1903	両立	対立	45	78
1913	1914	結成	結団	0	0
1944	1945	設立	#NAME?	0	0
1980	1981	温存	現状維持	0	0
1993	1994	据え置き	作り置き	0	0
1999	2000	放置	ほったらかし	0	0
2029	2030	無	空虚	0	0
2045	2046	焼失	焼亡	0	0
2048	2049	散逸	霧散	0	0
2117	2118	除去	削除	0	0
2124	2125	除湿	除菌	0	0
2159	2160	除外	オミット	0	0
2172	2173	廃棄	遺棄	0	0
2177	2178	使い捨て	ぽい捨て	0	0
2180	2181	却下	棄却	0	0
2185	2186	省略	カット	0	0
2217	2218	相	様相	0	0
2220	2221	実相	真相	0	0
2274	2275	惨状	窮状	0	0
2289	2290	民情	下情	0	0
2300	2301	旧態	故態	0	0
2314	2315	容体・容態	容体	0	0
2415	2416	あく	あく抜け	0	0
2468	2469	変調	失調	0	0
2512	2513	大出来	上出来	0	0
2556	2557	外面	外目	0	0
2587	2588	異相	貧相	0	0
2637	2638	勇姿	英姿	0	0
2640	2641	威容・偉容	威容	0	0
2664	2665	要素	素	0	0
2701	2702	枠組み	立て付け・建て付け	0	0
2725	2726	性質	性状	0	0
2797	2798	天性	天成	0	0
2811	2812	資性	持ち前	0	0
2814	2815	キャラクター	天分	0	0
2819	2820	習性	性向	0	0
2842	2843	人間味	ヒューマニティー	0	0
2952	2953	特徴	特長	0	0
2969	2970	長所	セールスポイント	0	0
2977	2978	美点	チャームポイント	0	0
2982	2983	難点	難	0	0
3027	3028	常	世の常	0	0
3030	3031	非常	非凡	0	0
3053	3054	固有	独自性	0	0
3056	3057	粋	国粋	0	0
3062	3063	精髄	精華	0	0
3076	3077	不良	最悪	0	0
3084	3085	妥当	穏当	0	0
3145	3146	均一	均等	0	0
3186	3187	狂い	破綻	0	0
3189	3190	奇	怪	0	0
3223	3224	混線	混信	0	0
3229	3230	乱脈	紊乱	0	0
3240	3241	混雑	どさくさ	0	0
3246	3247	紛糾	もつれ	0	0
3266	3267	疎	過疎	0	0
3273	3274	稠密	過密	0	0
3297	3298	種種	数数	0	0
3306	3307	純粋	至純	0	0
3404	3405	健康美	肉体美	0	0
3448	3449	可算	可視	0	0
3507	3508	危殆	火急	0	0
3520	3521	風前のともし火	風の前のちり	0	0
3544	3545	ばか力	くそ力	0	0
3578	3579	実力	潜勢力	0	0
3586	3587	弱	弱小	0	0
3613	3614	張力	テンション	0	0
3647	3648	親和力	粘着力	0	0
3672	3673	筆圧	血圧	0	0
3679	3680	国力	民力	0	0
3696	3697	物力	富力	0	0
3736	3737	脚力	走力	0	0
3742	3743	暴力	非暴力	0	0
3760	3761	国勢	県勢	0	0
3795	3796	発効	奏効	0	0
3798	3799	即応	臨機応変	0	0
3805	3806	変化	可変	0	0
3841	3842	流転	変幻	0	0
3849	3850	急変	激変・劇変	0	0
3878	3879	変心	心変わり	0	0
3979	3980	改正	更正	0	0
3998	3999	改装	新装	0	0
4036	4037	変換	チェンジ	0	0
4052	4053	差し替え	取り替え	0	0
4071	4072	乗り換え	くら替え	0	0
4108	4109	かえ	代え	0	0
4116	4117	開始	始まり	0	0
4188	4189	終了	完了	0	0
4194	4195	議了	読了	0	0
4223	4224	跳ね	閉会	0	0
4236	4237	廃校	廃部	0	0
4240	4241	閉業	廃業	0	0
4249	4250	上がり	卒業	0	0
4265	4266	中休み	ハーフタイム	0	0
4285	4286	休航	欠便	0	0
4337	4338	停車	駐車	0	0
4361	4362	続けざま	立て続け	0	0
4376	4377	ノンストップ	無停車	0	0
4409	4410	中継ぎ	中継	0	0
4473	4474	鼓動	脈動	0	0
4478	4479	波動	浮動	0	0
4490	4491	弾み	バウンド	0	0
4494	4495	はじき	跳ね返り	0	0
4603	4604	進行	運行	0	0
4606	4607	行進	パレード	0	0
4612	4613	通行	一方通行	0	0
4656	4657	独走	暴走	0	0
4666	4667	回り道	寄り道	0	0
4673	4674	蛇行	跛行	0	0
4723	4724	コース	逆コース	0	0
4728	4729	順路	路次	0	0
4733	4734	道順	筋道	0	0
4741	4742	弾道	軌跡	0	0
4744	4745	回線	回路	0	0
4749	4750	途	長途	0	0
4754	4755	近道	近回り	0	0
4770	4771	行路	旅路	0	0
4784	4785	山路	夜道	0	0
4797	4798	行き止まり	行き止まり	0	0
4807	4808	推移	移り	0	0
4810	4811	移行	過渡	0	0
4839	4840	渡米	渡仏	0	0
4864	4865	出立	いで立ち	0	0
4869	4870	朝立ち	昼立ち	0	0
4891	4892	出港	出漁	0	0
4916	4917	先着	早着	0	0
4978	4979	走り	一走り	0	0
5019	5020	飛翔	滑翔	0	0
5038	5039	漂流	浮流	0	0
5080	5081	回国	巡行	0	0
5087	5088	遍歴	遊歴	0	0
5112	5113	素通り	通り抜け	0	0
5140	5141	透過	透徹	0	0
5154	5155	伝播	流伝	0	0
5166	5167	風靡	ヒット	0	0
5169	5170	宣教	布教	0	0
5186	5187	並行	雁行	0	0
5214	5215	導き	先導	0	0
5219	5220	牽引	引率	0	0
5274	5275	逃走	敗走	0	0
5282	5283	夜逃げ	高飛び	0	0
5296	5297	失踪	失跡	0	0
5299	5300	進退	去就	0	0
5315	5316	勇往	邁進	0	0
5351	5352	蹉跌	つまずき	0	0
5391	5392	遡及	遡行	0	0
5408	5409	往来	来往	0	0
5411	5412	行き帰り	行き帰り	0	0
5434	5435	行き	行き	0	0
5461	5462	外来	舶来	0	0
5525	5526	外出	出向	0	0
5575	5576	還御	還幸	0	0
5597	5598	出	いで	0	0
5610	5611	湧出	滲出	0	0
5614	5615	外出	他出	0	0
5621	5622	脱却	脱退	0	0
5651	5652	退院	退寮	0	0
5662	5663	摘出	全摘出	0	0
5681	5682	寄り切り	締め出し・閉め出し	0	0
5706	5707	放出	放水	0	0
5732	5733	突入	乱入	0	0
5778	5779	おさめ	収め	0	0
5786	5787	搬入	納入	0	0
